,compound,neg,neu,pos
0,0.0,0.0,1.0,0.0
1,-0.1779,0.082,0.918,0.0
2,0.0,0.0,1.0,0.0
3,0.784,0.0,0.712,0.288
4,0.0,0.0,1.0,0.0
5,0.0,0.0,1.0,0.0
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,0.4404,0.0,0.86,0.14
10,-0.4466,0.211,0.789,0.0
11,0.0,0.0,1.0,0.0
12,0.0516,0.182,0.625,0.193
13,0.0,0.0,1.0,0.0
14,0.0,0.0,1.0,0.0
15,0.0,0.0,1.0,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.0,1.0,0.0
19,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0
21,0.0,0.0,1.0,0.0
22,0.34,0.0,0.888,0.112
23,0.0,0.0,1.0,0.0
24,-0.296,0.091,0.909,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
27,0.0,0.0,1.0,0.0
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,-0.4939,0.297,0.521,0.182
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,0.0,0.0,1.0,0.0
35,0.0,0.0,1.0,0.0
36,0.6369,0.0,0.658,0.342
37,0.0,0.0,1.0,0.0
38,0.0,0.0,1.0,0.0
39,0.0,0.0,1.0,0.0
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
42,0.34,0.0,0.888,0.112
43,0.0,0.0,1.0,0.0
44,0.0,0.0,1.0,0.0
45,0.0,0.0,1.0,0.0
46,0.0,0.0,1.0,0.0
47,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
49,0.0,0.0,1.0,0.0
50,0.0,0.0,1.0,0.0
51,0.0,0.0,1.0,0.0
52,0.4389,0.0,0.884,0.116
53,0.0,0.0,1.0,0.0
54,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
56,-0.4466,0.328,0.672,0.0
57,0.0,0.0,1.0,0.0
58,0.0,0.0,1.0,0.0
59,0.0,0.0,1.0,0.0
60,-0.5574,0.126,0.874,0.0
61,0.0,0.0,1.0,0.0
62,0.4215,0.0,0.763,0.237
63,0.4215,0.0,0.763,0.237
64,0.0,0.0,1.0,0.0
65,0.3612,0.071,0.769,0.16
66,0.0,0.0,1.0,0.0
67,0.0,0.0,1.0,0.0
68,0.0,0.0,1.0,0.0
69,0.0,0.0,1.0,0.0
70,0.7783,0.0,0.746,0.254
71,0.0,0.0,1.0,0.0
72,0.0,0.0,1.0,0.0
73,0.0,0.0,1.0,0.0
74,0.0,0.0,1.0,0.0
75,0.0,0.0,1.0,0.0
76,0.0,0.0,1.0,0.0
77,0.0,0.0,1.0,0.0
78,0.0,0.0,1.0,0.0
79,0.0,0.0,1.0,0.0
80,0.0,0.0,1.0,0.0
81,0.0,0.0,1.0,0.0
82,0.8439,0.0,0.543,0.457
83,0.0,0.0,1.0,0.0
84,0.0,0.0,1.0,0.0
85,0.0,0.0,1.0,0.0
86,0.0,0.0,1.0,0.0
87,0.0,0.0,1.0,0.0
88,0.0,0.0,1.0,0.0
89,0.0,0.0,1.0,0.0
90,0.0,0.0,1.0,0.0
91,-0.296,0.109,0.891,0.0
92,0.0,0.0,1.0,0.0
93,0.0,0.0,1.0,0.0
94,0.7506,0.0,0.764,0.236
95,0.3182,0.0,0.909,0.091
96,0.0,0.0,1.0,0.0
97,0.0,0.0,1.0,0.0
98,0.953,0.0,0.411,0.589
99,0.0,0.0,1.0,0.0
