date,compound,negative,neutral,positive
2021-01-15,0.7964,0.0,0.76,0.24
2021-01-19,0.128,0.056,0.849,0.095
2021-01-20,0.6124,0.0,0.839,0.161
2021-01-20,0.0,0.0,1.0,0.0
2021-01-21,0.0,0.0,1.0,0.0
2021-01-16,0.3939,0.0,0.923,0.077
2021-01-19,0.0,0.0,1.0,0.0
2021-01-21,-0.5133,0.116,0.884,0.0
2021-01-21,0.8225,0.0,0.813,0.187
2021-01-18,0.128,0.076,0.81,0.114
2021-01-18,0.4939,0.109,0.699,0.192
2021-01-21,0.4404,0.0,0.9,0.1
2021-01-15,0.7964,0.0,0.76,0.24
2021-01-21,0.0,0.0,1.0,0.0
2021-01-16,0.4215,0.0,0.926,0.074
2021-01-19,0.4215,0.0,0.924,0.076
2021-01-21,-0.7089,0.152,0.848,0.0
2021-01-15,0.8957,0.0,0.714,0.286
2021-01-15,0.1531,0.031,0.922,0.047
2021-01-15,0.0,0.0,1.0,0.0
2021-01-17,0.0258,0.0,0.962,0.038
2021-01-18,-0.1027,0.114,0.784,0.103
2021-01-21,0.7906,0.061,0.707,0.232
2021-01-15,0.2283,0.043,0.89,0.067
2021-01-18,-0.6908,0.18,0.82,0.0
2021-01-20,-0.7003,0.142,0.858,0.0
2021-01-21,0.8087,0.0,0.785,0.215
2021-01-19,0.7003,0.0,0.868,0.132
2021-01-19,0.0,0.0,1.0,0.0
2021-01-17,-0.6523,0.113,0.887,0.0
2021-01-18,-0.4767,0.145,0.789,0.066
2021-01-19,0.4939,0.0,0.92,0.08
2021-01-19,-0.2732,0.099,0.831,0.07
2021-01-19,0.1779,0.0,0.957,0.043
2021-01-20,0.0,0.0,1.0,0.0
2021-01-17,0.9022,0.0,0.633,0.367
2021-01-19,-0.1531,0.043,0.957,0.0
2021-01-19,0.2944,0.0,0.932,0.068
2021-01-18,0.4404,0.0,0.881,0.119
2021-01-15,0.0,0.0,1.0,0.0
2021-01-19,0.5106,0.0,0.909,0.091
2021-01-16,0.4588,0.0,0.923,0.077
2021-01-17,-0.4588,0.156,0.794,0.05
2021-01-15,0.3481,0.12,0.719,0.161
2021-01-19,-0.34,0.076,0.924,0.0
2021-01-16,0.0258,0.0,0.971,0.029
2021-01-17,0.4588,0.0,0.923,0.077
